date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:09	20844/20844	---M-Z	200	added ('OK')	text/html	etag:%22c9e2f51d7a65051b9abde329cee9653c-ssl-df%22	https://www.rammaheshwari.com/	C:/Users/Habib/Desktop/sami%20ppppp/www.rammaheshwari.com/index.html	(from )
17:18:09	24/24	---M--	200	added ('OK')	text/plain	etag:%22eba58d8841627116bc0a732b3f57aa6b-ssl%22	https://www.rammaheshwari.com/robots.txt		(from )
17:18:10	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22c8c913c6b59b51c46ff782585119d5dd-ssl%22	https://www.rammaheshwari.com/favicon.ico	C:/Users/Habib/Desktop/sami%20ppppp/www.rammaheshwari.com/favicon.ico	(from https://www.rammaheshwari.com/)
17:18:12	464371/464371	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2010:41:32%20GMT	https://i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.png	C:/Users/Habib/Desktop/sami%20ppppp/i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.png	(from https://www.rammaheshwari.com/)
17:18:13	13511/13511	---MCZ	200	added ('OK')	text/css	etag:bc987d2a731aa052ed0474f7bc970db93cb261ac-df	https://d33wubrfki0l68.cloudfront.net/css/134159683fc0e467a64ae99e3aa3783a3daaf7e2/css/style.css	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/css/134159683fc0e467a64ae99e3aa3783a3daaf7e2/css/style.css	(from https://www.rammaheshwari.com/)
17:18:13	85787/85787	---M--	200	added ('OK')	image/png	etag:d4d43eaac7e5d1cec4558aec2e40d25de133a57c	https://d33wubrfki0l68.cloudfront.net/32c48e23e828c42a99a37db81e2a91d7c8eed4de/d134a/assets/png/ram-maheshwari.png	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/32c48e23e828c42a99a37db81e2a91d7c8eed4de/d134a/assets/png/ram-maheshwari.png	(from https://www.rammaheshwari.com/)
17:18:14	113086/113086	---M--	200	added ('OK')	image/jpeg	etag:946cff2ce30f5f3e9102cd6e28827ee3ee10322d	https://d33wubrfki0l68.cloudfront.net/5b377ce34a47fc89fc8d33869f2342518a604589/71ecb/assets/jpeg/yubter.jpeg	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/5b377ce34a47fc89fc8d33869f2342518a604589/71ecb/assets/jpeg/yubter.jpg	(from https://www.rammaheshwari.com/)
17:18:16	9135/9135	---MCZ	200	added ('OK')	text/html	etag:%22da5d3b07d51a7c0bbd4290c8e10f4cf6-ssl-df%22	https://www.rammaheshwari.com/project-1	C:/Users/Habib/Desktop/sami%20ppppp/www.rammaheshwari.com/project-1.html	(from https://www.rammaheshwari.com/)
17:18:16	143195/143195	---M--	200	added ('OK')	image/jpeg	etag:3a7f1cefc2266d41b523d4de72511734f56e716a	https://d33wubrfki0l68.cloudfront.net/9199afe42f789dbddb324ed3edd326e080e693c1/28f54/assets/jpeg/wilsonport.jpeg	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/9199afe42f789dbddb324ed3edd326e080e693c1/28f54/assets/jpeg/wilsonport.jpg	(from https://www.rammaheshwari.com/)
17:18:17	10441/10441	---MCZ	200	added ('OK')	text/html	etag:%223a892b9a3c1d254cec8ec8567a55a396-ssl-df%22	https://www.rammaheshwari.com/project-2	C:/Users/Habib/Desktop/sami%20ppppp/www.rammaheshwari.com/project-2.html	(from https://www.rammaheshwari.com/)
17:18:17	141879/141879	---M--	200	added ('OK')	image/jpeg	etag:81207bc3773ad9f40b79e99458c09888cdcfec28	https://d33wubrfki0l68.cloudfront.net/61fc288f39a306e3130c72643480ce015dec48ae/e3272/assets/jpeg/boreal-coffee-clone.jpeg	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/61fc288f39a306e3130c72643480ce015dec48ae/e3272/assets/jpeg/boreal-coffee-clone.jpg	(from https://www.rammaheshwari.com/)
17:18:18	9049/9049	---MCZ	200	added ('OK')	text/html	etag:%22fe2955eaadf7c5365936df7ad52d2ac2-ssl-df%22	https://www.rammaheshwari.com/project-3	C:/Users/Habib/Desktop/sami%20ppppp/www.rammaheshwari.com/project-3.html	(from https://www.rammaheshwari.com/)
17:18:18	100446/100446	---M--	200	added ('OK')	image/jpeg	etag:86169adc4e1473e8cafea064db117bcb3607aae8	https://d33wubrfki0l68.cloudfront.net/74f6186aaa2b6d5f6ea6da1013abfeb672f5c807/aee81/assets/jpeg/crown-template.jpeg	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/74f6186aaa2b6d5f6ea6da1013abfeb672f5c807/aee81/assets/jpeg/crown-template.jpg	(from https://www.rammaheshwari.com/)
17:18:20	9064/9064	---MCZ	200	added ('OK')	text/html	etag:%22568dec910dfc2fe9f4f74f1c26f42730-ssl-df%22	https://www.rammaheshwari.com/project-4	C:/Users/Habib/Desktop/sami%20ppppp/www.rammaheshwari.com/project-4.html	(from https://www.rammaheshwari.com/)
17:18:20	565/565	---M--	200	added ('OK')	image/png	etag:8fdb4cb86e5a1fbee4083d21d89dda79f2c5a7d5	https://d33wubrfki0l68.cloudfront.net/7f29579dde49e02480372aa49f7189c5536b0118/34b92/assets/png/linkedin-ico.png	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/7f29579dde49e02480372aa49f7189c5536b0118/34b92/assets/png/linkedin-ico.png	(from https://www.rammaheshwari.com/)
17:18:20	535/535	---M--	200	added ('OK')	image/png	etag:a8f95aa1de2661f5fa4202a8c5a302811785f2d4	https://d33wubrfki0l68.cloudfront.net/5557d5a11584d7201a38ee1a95200f57a4cc0f88/15085/assets/png/github-ico.png	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/5557d5a11584d7201a38ee1a95200f57a4cc0f88/15085/assets/png/github-ico.png	(from https://www.rammaheshwari.com/)
17:18:21	1129/1129	---M--	200	added ('OK')	image/png	etag:9e2f22492825176ebc235f559b26b4eaf65a3c21	https://d33wubrfki0l68.cloudfront.net/ef67339f7016cb09ba66366c1dc9145ac69f2a21/feca1/assets/png/twitter-ico.png	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/ef67339f7016cb09ba66366c1dc9145ac69f2a21/feca1/assets/png/twitter-ico.png	(from https://www.rammaheshwari.com/)
17:18:21	582/582	---M--	200	added ('OK')	image/png	etag:344b99b0e80205defd0fb4953d2c3f348d848014	https://d33wubrfki0l68.cloudfront.net/c7b1e51b8c75a239d68af3d42866666580f390ec/dcc7c/assets/png/blog-ico.png	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/c7b1e51b8c75a239d68af3d42866666580f390ec/dcc7c/assets/png/blog-ico.png	(from https://www.rammaheshwari.com/)
17:18:21	832/832	---M--	200	added ('OK')	image/png	etag:6c641eee454e0138406056653ab3b251febe5c44	https://d33wubrfki0l68.cloudfront.net/493f1aa6da674c05bc606ba5b9e8092b881e8626/67c76/assets/png/yt-ico.png	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/493f1aa6da674c05bc606ba5b9e8092b881e8626/67c76/assets/png/yt-ico.png	(from https://www.rammaheshwari.com/)
17:18:21	1340/1340	---M-Z	200	added ('OK')	application/javascript	etag:7df84e7d51065446d8bfb231bc81d7841e2af554-df	https://d33wubrfki0l68.cloudfront.net/js/96f5c0d4b9bdbf07570efd8e94cb7db7a5191a01/index.js	C:/Users/Habib/Desktop/sami%20ppppp/d33wubrfki0l68.cloudfront.net/js/96f5c0d4b9bdbf07570efd8e94cb7db7a5191a01/index.js	(from https://www.rammaheshwari.com/)
17:18:23	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Dec%202022%2014:17:58%20GMT	http://code.tidio.co/hkirvl5pqs5cjjawh11xutnzjgtg9tfi.js	C:/Users/Habib/Desktop/sami%20ppppp/code.tidio.co/hkirvl5pqs5cjjawh11xutnzjgtg9tfi.12.delayed	(from https://www.rammaheshwari.com/)
